date,fcdemvs,fcrepvs
2011-12-12,48.3,51.7
2011-12-11,49.7,50.3
2011-12-10,49.7,50.3
2011-12-09,49.7,50.3
2011-12-08,49.7,50.3
2011-12-07,49.3,50.7
2011-12-06,49.8,50.2
2011-12-05,49.8,50.2
2011-12-04,49.8,50.2
2011-12-03,49.8,50.2
2011-12-02,49.8,50.2
2011-12-01,49.8,50.2
2011-11-30,49,51
2011-11-29,50.3,49.7
2011-11-28,50.3,49.7
2011-11-27,50.3,49.7
2011-11-26,50.3,49.7
2011-11-25,50.3,49.7
2011-11-24,50.3,49.7
2011-11-23,50.3,49.7
2011-11-22,50.3,49.7
2011-11-21,50.3,49.7
2011-11-20,48.8,51.2
2011-11-19,48.8,51.2
2011-11-18,48.8,51.2
2011-11-17,48.8,51.2
2011-11-16,48.8,51.2
2011-11-15,48.8,51.2
2011-11-14,48.8,51.2
2011-11-13,50.5,49.5
2011-11-12,50.5,49.5
2011-11-11,50,50
2011-11-10,50,50
2011-11-09,50,50
2011-11-08,50,50
2011-11-07,49.5,50.5
