date,fcdemvs,fcrepvs
2016-04-22T00:00:00,60.00,40
2016-04-21T00:00:00,57.69,42.31
2016-04-17T00:00:00,57.65,42.35
2016-04-13T00:00:00,59.07,40.93
2016-04-09T00:00:00,61.41,38.59
2016-04-08T00:00:00,61.63,38.37
2016-04-05T00:00:00,60.72,39.28
2016-03-30T00:00:00,60.53,39.47
2016-03-28T00:00:00,58.17,41.83
2016-03-27T00:00:00,59.62,40.38
2016-03-25T00:00:00,58.86,41.14
2016-03-21T00:00:00,58.53,41.47
2016-03-16T00:00:00,56.48,43.52
2016-03-11T00:00:00,56.81,43.19
2016-03-09T00:00:00,59.15,40.85
2016-03-08T00:00:00,57.97,42.03
2016-03-03T00:00:00,56.00,44
2016-03-02T00:00:00,57.28,42.72
2016-02-27T00:00:00,56.99,43.01
2016-02-26T00:00:00,57.61,42.39
2016-02-24T00:00:00,55.94,44.06
2016-02-14T00:00:00,56.20,43.8
2016-02-13T00:00:00,56.15,43.85
2016-02-12T00:00:00,53.62,46.38
2016-02-07T00:00:00,53.58,46.42
2016-02-06T00:00:00,53.63,46.37
2016-02-03T00:00:00,53.45,46.55
2016-01-28T00:00:00,53.95,46.05
2016-01-26T00:00:00,52.25,47.75
2016-01-06T00:00:00,54.96,45.04
2016-01-04T00:00:00,52.38,47.62
